Fecha, producto, unidades, precio total
31/10/2024, Hoja de papel, 15000, ""164,1""
30/06/2024, Recambio marcador pizarra blanca negro, 40 , ""28,4""  
20/06/2024, Fardo papel secamanos, 10, ""182,5""
20/06/2024, Albarán, 1, ""0""
20/06/2024, Saco industriales, 20, ""30,2""
20/06/2024, Bolsa de basura pequeña, 30, ""33,9""
20/06/2024, Fardo papel WC industrial, 10, ""256,7""
20/06/2024, Fardo papel secamanos mecha, 5, ""91,25""
20/06/2024, Garrafa jabón de manos, 3, ""25,5""
31/05/2024, Recambio marcador pizarra blanca verde, 30, ""27,30""
31/05/2024, Recambio marcador pizarra blanca azul, 40, ""28,40""
31/05/2024, Hoja de papel, 15000, ""160,2""
30/04/2024, Recambios borrador faibo, 10, ""5,6""
30/04/2024, Borrador no magnetico faibo plast gris, 6, ""40,98""
30/04/2024, Hoja de papel, 7500, ""80,10""
30/04/2024, Marcad piz bca pilot begreen 2 3MM verde, 25, ""22,25""
30/04/2024, Marcad piz bca pilot begreen 2 3MM rjo, 30, ""26,7""
30/04/2024, Marcad piz bca pilot begreen 2 3MM ngo, 30, ""26,7""
30/04/2024, Marcad piz bca pilot begreen 2 3MM azl, 30, ""26,7""
19/06/2024, Recambio marcador pizarra blanca negro, 40 , ""28,4""  
