Día,time,value
25-02-2024,12:00 am,190
25-02-2024,1:00 am,192
25-02-2024,2:00 am,192
25-02-2024,3:00 am,193
25-02-2024,4:00 am,195
25-02-2024,5:00 am,197
25-02-2024,6:00 am,202
25-02-2024,7:00 am,205
25-02-2024,8:00 am,204
25-02-2024,9:00 am,227
25-02-2024,10:00 am,225
25-02-2024,11:00 am,230
25-02-2024,12:00 pm,208
25-02-2024,1:00 pm,229
25-02-2024,2:00 pm,245
25-02-2024,3:00 pm,302
25-02-2024,4:00 pm,200
25-02-2024,5:00 pm,192
25-02-2024,6:00 pm,188
25-02-2024,7:00 pm,188
25-02-2024,8:00 pm,188
25-02-2024,9:00 pm,190
25-02-2024,10:00 pm,190
25-02-2024,11:00 pm,240
28-02-2024,12:00 am,202
28-02-2024,1:00 am,154
28-02-2024,2:00 am,154
28-02-2024,3:00 am,154
28-02-2024,4:00 am,154
28-02-2024,5:00 am,157
28-02-2024,6:00 am,160
28-02-2024,7:00 am,154
28-02-2024,8:00 am,270
28-02-2024,9:00 am,270
28-02-2024,10:00 am,425
28-02-2024,11:00 am,420
28-02-2024,12:00 pm,390
28-02-2024,1:00 pm,460
28-02-2024,2:00 pm,500
28-02-2024,3:00 pm,420
28-02-2024,4:00 pm,400
28-02-2024,5:00 pm,395
28-02-2024,6:00 pm,520
28-02-2024,7:00 pm,420
28-02-2024,8:00 pm,410
28-02-2024,9:00 pm,310
28-02-2024,10:00 pm,154
28-02-2024,11:00 pm,270
29-02-2024,12:00 am,175
29-02-2024,1:00 am,175
29-02-2024,2:00 am,176
29-02-2024,3:00 am,177
29-02-2024,4:00 am,178
29-02-2024,5:00 am,179
29-02-2024,6:00 am,182
29-02-2024,7:00 am,180
29-02-2024,8:00 am,300
29-02-2024,9:00 am,295
29-02-2024,10:00 am,420
29-02-2024,11:00 am,500
29-02-2024,12:00 pm,428
